Country,Sector,Year,Gas,Sample group,Break type,Coefficient,Target p-value,Standard Error,T-stat,P-value
Australia,Solid waste disposal,2009,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.539,0.050,0.150,3.588,0.000
Australia,Solid waste disposal,2009,Methane (CH4),OECD with EU15 effects,positive,0.512,0.050,0.131,3.900,0.000
Australia,Wastewater treatment,2006,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.115,0.050,0.017,6.756,0.000
Australia,Wastewater treatment,2006,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.104,0.010,0.019,5.345,0.000
Australia,Wastewater treatment,2006,Methane (CH4),OECD with EU15 effects,positive,0.133,0.050,0.020,6.799,0.000
Australia,Wastewater treatment,2006,Methane (CH4),OECD with EU15 effects,positive,0.123,0.010,0.022,5.485,0.000
Australia,Wastewater treatment,2007,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.102,0.050,0.017,5.906,0.000
Australia,Wastewater treatment,2007,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.086,0.010,0.019,4.645,0.000
Australia,Water-borne navigation,2008,Methane (CH4),OECD,negative,0.379,0.050,0.111,3.425,0.001
Australia,Water-borne navigation,2010,Methane (CH4),OECD with EU15 effects,positive,0.321,0.050,0.111,2.894,0.004
Austria,Biomass burning,2019,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-1.629,0.050,0.100,-16.306,0.000
Austria,Biomass burning,2019,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-1.667,0.010,0.121,-13.732,0.000
Austria,Biomass burning,2019,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-1.643,0.001,0.142,-11.608,0.000
Austria,Biomass burning,2019,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,negative,-1.204,0.050,0.195,-6.170,0.000
Austria,Biomass burning,2019,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,negative,-1.786,0.010,0.120,-14.938,0.000
Austria,Biomass burning,2019,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,negative,-1.858,0.001,0.137,-13.605,0.000
Austria,Biomass burning,2019,"Combined GHGs (CO2, CH4, N2O, f-gases)",EU15,negative,-1.581,0.050,0.089,-17.820,0.000
Austria,Biomass burning,2019,"Combined GHGs (CO2, CH4, N2O, f-gases)",EU15,negative,-1.581,0.010,0.093,-16.987,0.000
Austria,Biomass burning,2019,"Combined GHGs (CO2, CH4, N2O, f-gases)",EU15,negative,-1.637,0.001,0.115,-14.255,0.000
Austria,Biomass burning,2019,Methane (CH4),OECD with EU15 effects,negative,-1.629,0.050,0.100,-16.306,0.000
Austria,Biomass burning,2019,Methane (CH4),OECD with EU15 effects,negative,-1.667,0.010,0.121,-13.732,0.000
Austria,Biomass burning,2019,Methane (CH4),OECD with EU15 effects,negative,-1.643,0.001,0.142,-11.608,0.000
Austria,Carbonate uses,2015,Carbon dioxide (CO2),EU15,negative,0.681,0.050,0.071,9.608,0.000
Austria,Carbonate uses,2015,Carbon dioxide (CO2),EU15,negative,0.755,0.010,0.075,10.083,0.000
Austria,Carbonate uses,2015,Carbon dioxide (CO2),EU15,negative,0.773,0.001,0.077,10.022,0.000
Austria,Carbonate uses,2015,"Combined GHGs (CO2, CH4, N2O, f-gases)",EU15,positive,0.681,0.050,0.071,9.608,0.000
Austria,Carbonate uses,2015,"Combined GHGs (CO2, CH4, N2O, f-gases)",EU15,positive,0.755,0.010,0.075,10.083,0.000
Austria,Carbonate uses,2015,"Combined GHGs (CO2, CH4, N2O, f-gases)",EU15,positive,0.773,0.001,0.077,10.022,0.000
Austria,Chemical industry,2006,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.574,0.050,0.108,5.314,0.000
Austria,Chemical industry,2006,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.568,0.010,0.113,5.022,0.000
Austria,Chemical industry,2006,"Combined GHGs (CO2, CH4, N2O, f-gases)",EU15,positive,0.492,0.050,0.098,5.032,0.000
Austria,Chemical industry,2006,"Combined GHGs (CO2, CH4, N2O, f-gases)",EU15,positive,0.828,0.010,0.184,4.497,0.000
Austria,Civil aviation,2020,Methane (CH4),EU15,negative,0.655,0.050,0.086,7.592,0.000
Austria,Civil aviation,2020,Methane (CH4),EU15,negative,0.664,0.010,0.093,7.142,0.000
Austria,Direct N2O - managed soils,2010,"Combined GHGs (CO2, CH4, N2O, f-gases)",EU15,positive,0.045,0.050,0.010,4.727,0.000
Austria,Electricity and heat,2000,Methane (CH4),EU15,negative,-0.154,0.050,0.043,-3.601,0.000
Austria,Electricity and heat,2000,Methane (CH4),EU15,negative,-0.195,0.010,0.050,-3.875,0.000
Austria,Electricity and heat,2007,Methane (CH4),EU15,negative,0.331,0.010,0.039,8.448,0.000
Austria,Electricity and heat,2008,Methane (CH4),OECD,negative,0.284,0.050,0.047,5.993,0.000
Austria,Electricity and heat,2008,Methane (CH4),EU15,negative,0.359,0.050,0.035,10.156,0.000
Austria,Electricity and heat,2008,Methane (CH4),EU15,negative,0.255,0.001,0.037,6.845,0.000
Austria,Electricity and heat,2017,Carbon dioxide (CO2),EU15,negative,0.295,0.050,0.051,5.801,0.000
Austria,Electricity and heat,2017,Carbon dioxide (CO2),EU15,negative,0.240,0.010,0.053,4.554,0.000
Austria,Electricity and heat,2017,"Combined GHGs (CO2, CH4, N2O, f-gases)",EU15,positive,0.277,0.050,0.050,5.548,0.000
Austria,Electricity and heat,2017,"Combined GHGs (CO2, CH4, N2O, f-gases)",EU15,positive,0.241,0.010,0.052,4.612,0.000
Austria,Electricity and heat,2019,Methane (CH4),EU15,negative,-0.140,0.050,0.045,-3.153,0.002
Austria,Glass Production,2010,Carbon dioxide (CO2),OECD with EU15 effects,positive,0.185,0.050,0.062,2.994,0.003
Austria,Glass Production,2010,Carbon dioxide (CO2),OECD with EU15 effects,positive,0.189,0.010,0.069,2.726,0.007
Austria,Glass Production,2010,Carbon dioxide (CO2),EU15,negative,0.501,0.050,0.118,4.249,0.000
Austria,Glass Production,2010,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.185,0.050,0.062,2.994,0.003
Austria,Glass Production,2010,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.189,0.010,0.069,2.726,0.007
Austria,Glass Production,2010,"Combined GHGs (CO2, CH4, N2O, f-gases)",EU15,positive,0.501,0.050,0.118,4.249,0.000
Austria,Incineration of waste,2009,Carbon dioxide (CO2),OECD with EU15 effects,negative,-1.434,0.050,0.144,-9.975,0.000
Austria,Incineration of waste,2009,Carbon dioxide (CO2),OECD with EU15 effects,negative,-1.454,0.010,0.146,-9.939,0.000
Austria,Incineration of waste,2009,Carbon dioxide (CO2),OECD,negative,-1.531,0.050,0.129,-11.848,0.000
Austria,Incineration of waste,2009,Carbon dioxide (CO2),OECD,negative,-1.605,0.010,0.148,-10.861,0.000
Austria,Incineration of waste,2009,Carbon dioxide (CO2),OECD,negative,-1.655,0.001,0.160,-10.329,0.000
Austria,Incineration of waste,2009,Carbon dioxide (CO2),EU15,negative,-1.419,0.050,0.109,-13.049,0.000
Austria,Incineration of waste,2009,Carbon dioxide (CO2),EU15,negative,-1.558,0.010,0.113,-13.742,0.000
Austria,Incineration of waste,2009,Carbon dioxide (CO2),EU15,negative,-1.616,0.001,0.139,-11.654,0.000
Austria,Indirect N20 - nitrogen,2003,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.172,0.050,0.024,7.177,0.000
Austria,Indirect N20 - nitrogen,2003,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.165,0.010,0.026,6.424,0.000
Austria,Indirect N20 - nitrogen,2003,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.171,0.001,0.028,6.076,0.000
Austria,Indirect N20 - nitrogen,2003,"Combined GHGs (CO2, CH4, N2O, f-gases)",EU15,positive,0.141,0.050,0.016,8.749,0.000
Austria,Indirect N20 - nitrogen,2003,"Combined GHGs (CO2, CH4, N2O, f-gases)",EU15,positive,0.152,0.010,0.017,8.739,0.000
Austria,Indirect N20 - nitrogen,2003,"Combined GHGs (CO2, CH4, N2O, f-gases)",EU15,positive,0.149,0.001,0.021,7.176,0.000
Austria,Indirect N2O - manure,2014,"Combined GHGs (CO2, CH4, N2O, f-gases)",EU15,negative,-0.046,0.050,0.010,-4.748,0.000
Austria,Manufacturing & construction,1998,Carbon dioxide (CO2),OECD with EU15 effects,positive,0.125,0.050,0.056,2.254,0.024
Austria,Manufacturing & construction,1998,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.127,0.050,0.055,2.317,0.021
Austria,Manufacturing & construction,1998,Methane (CH4),OECD with EU15 effects,positive,0.255,0.050,0.079,3.239,0.001
Austria,Manufacturing & construction,1998,Methane (CH4),OECD with EU15 effects,positive,0.268,0.010,0.089,3.032,0.003
Austria,Manufacturing & construction,1998,Methane (CH4),OECD,negative,0.213,0.050,0.076,2.790,0.005
Austria,Manufacturing & construction,1998,Methane (CH4),OECD,negative,0.226,0.010,0.085,2.669,0.008
Austria,Manufacturing & construction,2003,Carbon dioxide (CO2),EU15,negative,0.212,0.001,0.038,5.540,0.000
Austria,Manufacturing & construction,2003,"Combined GHGs (CO2, CH4, N2O, f-gases)",EU15,positive,0.214,0.001,0.038,5.654,0.000
Austria,Manufacturing & construction,2004,Carbon dioxide (CO2),OECD,negative,0.335,0.050,0.033,10.029,0.000
Austria,Manufacturing & construction,2004,Carbon dioxide (CO2),OECD,negative,0.323,0.010,0.037,8.786,0.000
Austria,Manufacturing & construction,2004,Carbon dioxide (CO2),OECD,negative,0.300,0.001,0.042,7.181,0.000
Austria,Manufacturing & construction,2004,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.337,0.050,0.033,10.155,0.000
Austria,Manufacturing & construction,2004,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.326,0.010,0.036,8.977,0.000
Austria,Manufacturing & construction,2004,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.302,0.001,0.042,7.273,0.000
Austria,Manufacturing & construction,2004,Methane (CH4),OECD with EU15 effects,positive,0.411,0.050,0.052,7.853,0.000
Austria,Manufacturing & construction,2004,Methane (CH4),OECD with EU15 effects,positive,0.403,0.010,0.059,6.844,0.000
Austria,Manufacturing & construction,2004,Methane (CH4),OECD with EU15 effects,positive,0.498,0.001,0.056,8.899,0.000
Austria,Manufacturing & construction,2005,Methane (CH4),OECD,negative,0.407,0.050,0.049,8.239,0.000
Austria,Manufacturing & construction,2005,Methane (CH4),OECD,negative,0.388,0.010,0.055,7.080,0.000
Austria,Manufacturing & construction,2005,Methane (CH4),OECD,negative,0.452,0.001,0.055,8.267,0.000
Austria,Manufacturing & construction,2005,Methane (CH4),EU15,negative,0.307,0.050,0.033,9.183,0.000
Austria,Manufacturing & construction,2005,Methane (CH4),EU15,negative,0.370,0.010,0.043,8.621,0.000
Austria,Manufacturing & construction,2005,Methane (CH4),EU15,negative,0.321,0.001,0.047,6.805,0.000
Austria,Manufacturing & construction,2008,Carbon dioxide (CO2),OECD with EU15 effects,positive,0.349,0.050,0.035,10.005,0.000
Austria,Manufacturing & construction,2008,Carbon dioxide (CO2),OECD with EU15 effects,positive,0.392,0.010,0.034,11.600,0.000
Austria,Manufacturing & construction,2008,Carbon dioxide (CO2),OECD with EU15 effects,positive,0.344,0.001,0.041,8.342,0.000
Austria,Manufacturing & construction,2008,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.348,0.050,0.035,10.095,0.000
Austria,Manufacturing & construction,2008,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.391,0.010,0.034,11.641,0.000
Austria,Manufacturing & construction,2008,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.344,0.001,0.041,8.394,0.000
Austria,Manufacturing & construction,2009,Carbon dioxide (CO2),EU15,negative,0.288,0.050,0.024,11.848,0.000
Austria,Manufacturing & construction,2009,Carbon dioxide (CO2),EU15,negative,0.362,0.010,0.027,13.524,0.000
Austria,Manufacturing & construction,2009,Carbon dioxide (CO2),EU15,negative,0.245,0.001,0.035,7.035,0.000
Austria,Manufacturing & construction,2009,"Combined GHGs (CO2, CH4, N2O, f-gases)",EU15,positive,0.291,0.050,0.025,11.663,0.000
Austria,Manufacturing & construction,2009,"Combined GHGs (CO2, CH4, N2O, f-gases)",EU15,positive,0.323,0.010,0.026,12.211,0.000
Austria,Manufacturing & construction,2009,"Combined GHGs (CO2, CH4, N2O, f-gases)",EU15,positive,0.242,0.001,0.034,7.037,0.000
Austria,Manure management,2003,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,negative,-0.078,0.050,0.015,-5.309,0.000
Austria,Manure management,2014,"Combined GHGs (CO2, CH4, N2O, f-gases)",EU15,negative,-0.064,0.010,0.011,-5.694,0.000
Austria,Manure management,2015,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-0.052,0.050,0.015,-3.591,0.000
Austria,Manure management,2015,"Combined GHGs (CO2, CH4, N2O, f-gases)",EU15,negative,-0.064,0.050,0.010,-6.424,0.000
Austria,Manure management,2015,Methane (CH4),OECD with EU15 effects,negative,-0.060,0.050,0.015,-4.127,0.000
Austria,Metal industry,2002,Carbon dioxide (CO2),EU15,negative,0.316,0.050,0.058,5.498,0.000
Austria,Metal industry,2002,Carbon dioxide (CO2),EU15,negative,0.285,0.010,0.068,4.222,0.000
Austria,Metal industry,2002,Carbon dioxide (CO2),EU15,negative,0.581,0.001,0.060,9.745,0.000
Austria,Metal industry,2008,Carbon dioxide (CO2),EU15,negative,0.453,0.050,0.050,9.067,0.000
Austria,Metal industry,2008,Carbon dioxide (CO2),EU15,negative,0.398,0.010,0.059,6.771,0.000
Austria,Metal industry,2008,"Combined GHGs (CO2, CH4, N2O, f-gases)",EU15,positive,0.549,0.050,0.045,12.108,0.000
Austria,Metal industry,2008,"Combined GHGs (CO2, CH4, N2O, f-gases)",EU15,positive,0.611,0.010,0.049,12.519,0.000
Austria,Metal industry,2008,"Combined GHGs (CO2, CH4, N2O, f-gases)",EU15,positive,0.611,0.001,0.049,12.519,0.000
Austria,Other product manufacture,2006,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.481,0.050,0.041,11.741,0.000
Austria,Other product manufacture,2006,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.440,0.010,0.047,9.458,0.000
Austria,Other product manufacture,2006,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.310,0.050,0.043,7.163,0.000
Austria,Other product manufacture,2006,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.275,0.010,0.053,5.243,0.000
Austria,Other product manufacture,2006,"Combined GHGs (CO2, CH4, N2O, f-gases)",EU15,positive,0.525,0.001,0.042,12.407,0.000
Austria,Other product manufacture,2007,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.569,0.001,0.049,11.618,0.000
Austria,Other product manufacture,2016,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.307,0.050,0.046,6.718,0.000
