gas,sample,sector,target p-value,country,year,coef,std.error,t-stat,p-value,break direction
all_ghg,EU15,Civil aviation,0.05,Finland,2006,-0.317,0.101,-3.134,0.002,negative
all_ghg,EU15,Civil aviation,0.05,France,2011,0.717,0.085,8.416,0.000,positive
all_ghg,EU15,Civil aviation,0.05,UnitedKingdom,2013,0.280,0.094,2.980,0.003,positive
all_ghg,EU15,Civil aviation,0.05,Greece,2000,-0.429,0.111,-3.862,0.000,negative
all_ghg,EU15,Civil aviation,0.05,Ireland,2000,0.502,0.134,3.752,0.000,positive
all_ghg,EU15,Civil aviation,0.05,Ireland,2011,-1.560,0.106,-14.737,0.000,negative
all_ghg,EU15,Civil aviation,0.05,Luxembourg,2009,0.317,0.122,2.609,0.009,positive
all_ghg,EU15,Civil aviation,0.01,Denmark,2000,-0.551,0.109,-5.034,0.000,negative
all_ghg,EU15,Civil aviation,0.01,Finland,2000,-0.512,0.116,-4.420,0.000,negative
all_ghg,EU15,Civil aviation,0.01,France,2011,0.716,0.087,8.276,0.000,positive
all_ghg,EU15,Civil aviation,0.01,UnitedKingdom,2005,0.277,0.096,2.880,0.004,positive
all_ghg,EU15,Civil aviation,0.01,Greece,2000,-0.403,0.113,-3.580,0.000,negative
all_ghg,EU15,Civil aviation,0.01,Ireland,2000,0.562,0.135,4.166,0.000,positive
all_ghg,EU15,Civil aviation,0.01,Ireland,2011,-1.601,0.105,-15.280,0.000,negative
all_ghg,EU15,Civil aviation,0.01,Luxembourg,2009,0.321,0.124,2.594,0.010,positive
all_ghg,EU15,Civil aviation,0.001,France,2011,0.641,0.091,7.058,0.000,positive
all_ghg,EU15,Civil aviation,0.001,Ireland,2000,0.708,0.136,5.219,0.000,positive
all_ghg,EU15,Civil aviation,0.001,Ireland,2011,-1.651,0.109,-15.114,0.000,negative
all_ghg,EU15,Direct N2O - managed soils,0.05,Austria,2010,0.045,0.010,4.727,0.000,positive
all_ghg,EU15,Direct N2O - managed soils,0.05,Belgium,2009,0.076,0.009,8.070,0.000,positive
all_ghg,EU15,Direct N2O - managed soils,0.05,Germany,1999,0.053,0.021,2.517,0.012,positive
all_ghg,EU15,Direct N2O - managed soils,0.05,Germany,2001,0.040,0.018,2.175,0.030,positive
all_ghg,EU15,Direct N2O - managed soils,0.05,Germany,2017,-0.115,0.012,-9.253,0.000,negative
all_ghg,EU15,Direct N2O - managed soils,0.05,Denmark,2019,0.053,0.014,3.903,0.000,positive
all_ghg,EU15,Direct N2O - managed soils,0.05,Spain,2013,0.043,0.013,3.389,0.001,positive
all_ghg,EU15,Direct N2O - managed soils,0.05,Spain,2018,0.058,0.016,3.759,0.000,positive
all_ghg,EU15,Direct N2O - managed soils,0.05,Finland,2006,-0.030,0.011,-2.701,0.007,negative
all_ghg,EU15,Direct N2O - managed soils,0.05,UnitedKingdom,2001,-0.082,0.013,-6.525,0.000,negative
all_ghg,EU15,Direct N2O - managed soils,0.05,Greece,2006,-0.079,0.011,-7.391,0.000,negative
all_ghg,EU15,Direct N2O - managed soils,0.05,Ireland,2015,-0.039,0.016,-2.405,0.017,negative
all_ghg,EU15,Direct N2O - managed soils,0.05,Netherlands,1998,-0.085,0.015,-5.548,0.000,negative
all_ghg,EU15,Direct N2O - managed soils,0.05,Netherlands,2017,-0.063,0.012,-5.288,0.000,negative
all_ghg,EU15,Direct N2O - managed soils,0.05,Portugal,2017,0.085,0.013,6.721,0.000,positive
all_ghg,EU15,Direct N2O - managed soils,0.01,Belgium,2009,0.074,0.011,6.983,0.000,positive
all_ghg,EU15,Direct N2O - managed soils,0.01,Germany,2001,0.074,0.014,5.404,0.000,positive
all_ghg,EU15,Direct N2O - managed soils,0.01,Germany,2017,-0.114,0.014,-8.287,0.000,negative
all_ghg,EU15,Direct N2O - managed soils,0.01,Spain,2000,0.052,0.016,3.146,0.002,positive
all_ghg,EU15,Direct N2O - managed soils,0.01,Spain,2017,0.079,0.013,5.996,0.000,positive
all_ghg,EU15,Direct N2O - managed soils,0.01,Finland,2006,-0.035,0.012,-2.811,0.005,negative
all_ghg,EU15,Direct N2O - managed soils,0.01,France,2020,-0.120,0.017,-6.987,0.000,negative
all_ghg,EU15,Direct N2O - managed soils,0.01,UnitedKingdom,2001,-0.078,0.014,-5.381,0.000,negative
all_ghg,EU15,Direct N2O - managed soils,0.01,Greece,2006,-0.092,0.012,-7.764,0.000,negative
all_ghg,EU15,Direct N2O - managed soils,0.01,Ireland,2015,-0.050,0.017,-2.909,0.004,negative
all_ghg,EU15,Direct N2O - managed soils,0.01,Netherlands,1998,-0.102,0.017,-5.960,0.000,negative
all_ghg,EU15,Direct N2O - managed soils,0.01,Portugal,2017,0.079,0.014,5.619,0.000,positive
all_ghg,EU15,Direct N2O - managed soils,0.001,Belgium,2009,0.075,0.011,6.839,0.000,positive
all_ghg,EU15,Direct N2O - managed soils,0.001,Germany,2018,-0.103,0.015,-6.948,0.000,negative
all_ghg,EU15,Direct N2O - managed soils,0.001,Spain,2000,0.041,0.017,2.417,0.016,positive
all_ghg,EU15,Direct N2O - managed soils,0.001,Spain,2017,0.080,0.014,5.828,0.000,positive
all_ghg,EU15,Direct N2O - managed soils,0.001,France,2020,-0.122,0.018,-6.822,0.000,negative
all_ghg,EU15,Direct N2O - managed soils,0.001,UnitedKingdom,2001,-0.089,0.015,-5.974,0.000,negative
all_ghg,EU15,Direct N2O - managed soils,0.001,Greece,2006,-0.094,0.012,-7.756,0.000,negative
all_ghg,EU15,Direct N2O - managed soils,0.001,Ireland,2019,-0.117,0.020,-5.768,0.000,negative
all_ghg,EU15,Direct N2O - managed soils,0.001,Netherlands,1998,-0.109,0.018,-6.116,0.000,negative
all_ghg,EU15,Direct N2O - managed soils,0.001,Portugal,2017,0.084,0.015,5.822,0.000,positive
all_ghg,EU15,Electricity and heat,0.05,Austria,2017,0.277,0.050,5.548,0.000,positive
all_ghg,EU15,Electricity and heat,0.05,Belgium,2001,-0.166,0.049,-3.402,0.001,negative
all_ghg,EU15,Electricity and heat,0.05,Denmark,2001,-0.238,0.058,-4.110,0.000,negative
all_ghg,EU15,Electricity and heat,0.05,Denmark,2011,-0.272,0.057,-4.744,0.000,negative
all_ghg,EU15,Electricity and heat,0.05,Spain,1999,0.187,0.062,3.033,0.003,positive
all_ghg,EU15,Electricity and heat,0.05,France,2007,0.138,0.044,3.120,0.002,positive
all_ghg,EU15,Electricity and heat,0.05,UnitedKingdom,2016,-0.429,0.052,-8.243,0.000,negative
all_ghg,EU15,Electricity and heat,0.05,Italy,2016,0.177,0.049,3.636,0.000,positive
all_ghg,EU15,Electricity and heat,0.05,Luxembourg,1997,-0.594,0.106,-5.586,0.000,negative
all_ghg,EU15,Electricity and heat,0.05,Luxembourg,2002,0.287,0.118,2.436,0.015,positive
all_ghg,EU15,Electricity and heat,0.05,Luxembourg,2018,0.316,0.083,3.812,0.000,positive
all_ghg,EU15,Electricity and heat,0.05,Netherlands,2014,0.281,0.043,6.470,0.000,positive
all_ghg,EU15,Electricity and heat,0.05,Sweden,2000,-0.212,0.054,-3.903,0.000,negative
all_ghg,EU15,Electricity and heat,0.05,Sweden,2016,0.316,0.050,6.270,0.000,positive
all_ghg,EU15,Electricity and heat,0.01,Austria,2017,0.241,0.052,4.612,0.000,positive
all_ghg,EU15,Electricity and heat,0.01,Denmark,2001,-0.225,0.061,-3.666,0.000,negative
all_ghg,EU15,Electricity and heat,0.01,Denmark,2011,-0.320,0.057,-5.587,0.000,negative
all_ghg,EU15,Electricity and heat,0.01,Denmark,2017,-0.353,0.065,-5.467,0.000,negative
all_ghg,EU15,Electricity and heat,0.01,UnitedKingdom,2016,-0.496,0.053,-9.303,0.000,negative
all_ghg,EU15,Electricity and heat,0.01,Luxembourg,1998,0.544,0.100,5.428,0.000,positive
all_ghg,EU15,Electricity and heat,0.01,Luxembourg,2015,-0.559,0.077,-7.287,0.000,negative
all_ghg,EU15,Electricity and heat,0.01,Netherlands,2014,0.257,0.046,5.638,0.000,positive
all_ghg,EU15,Electricity and heat,0.01,Sweden,2016,0.221,0.051,4.361,0.000,positive
all_ghg,EU15,Electricity and heat,0.001,Denmark,2001,-0.240,0.067,-3.566,0.000,negative
all_ghg,EU15,Electricity and heat,0.001,Denmark,2012,-0.532,0.053,-10.056,0.000,negative
all_ghg,EU15,Electricity and heat,0.001,France,2021,0.504,0.092,5.493,0.000,positive
all_ghg,EU15,Electricity and heat,0.001,UnitedKingdom,2016,-0.535,0.058,-9.161,0.000,negative
all_ghg,EU15,Electricity and heat,0.001,Luxembourg,1998,0.519,0.111,4.661,0.000,positive
all_ghg,EU15,Electricity and heat,0.001,Luxembourg,2015,-0.778,0.077,-10.118,0.000,negative
all_ghg,EU15,Electricity and heat,0.001,Netherlands,2014,0.231,0.050,4.576,0.000,positive
all_ghg,EU15,Enteric fermentation,0.05,Belgium,2003,-0.061,0.009,-6.597,0.000,negative
all_ghg,EU15,Enteric fermentation,0.05,Germany,2020,-0.063,0.012,-5.180,0.000,negative
all_ghg,EU15,Enteric fermentation,0.05,Denmark,2005,-0.048,0.010,-4.586,0.000,negative
all_ghg,EU15,Enteric fermentation,0.05,Denmark,2010,0.050,0.010,5.009,0.000,positive
all_ghg,EU15,Enteric fermentation,0.05,Spain,2001,0.099,0.012,8.069,0.000,positive
all_ghg,EU15,Enteric fermentation,0.05,Spain,2008,-0.081,0.010,-8.431,0.000,negative
all_ghg,EU15,Enteric fermentation,0.05,Spain,2018,0.085,0.012,7.388,0.000,positive
all_ghg,EU15,Enteric fermentation,0.05,Finland,1999,-0.034,0.011,-3.068,0.002,negative
all_ghg,EU15,Enteric fermentation,0.05,Finland,2017,-0.049,0.010,-5.083,0.000,negative
all_ghg,EU15,Enteric fermentation,0.05,France,2000,0.071,0.010,6.998,0.000,positive
all_ghg,EU15,Enteric fermentation,0.05,Greece,2002,0.066,0.009,7.238,0.000,positive
all_ghg,EU15,Enteric fermentation,0.05,Greece,2018,-0.076,0.011,-6.611,0.000,negative
all_ghg,EU15,Enteric fermentation,0.05,Ireland,2000,0.070,0.012,5.938,0.000,positive
all_ghg,EU15,Enteric fermentation,0.05,Ireland,2018,-0.093,0.013,-7.036,0.000,negative
all_ghg,EU15,Enteric fermentation,0.05,Italy,2018,0.082,0.011,7.248,0.000,positive
all_ghg,EU15,Enteric fermentation,0.05,Luxembourg,2009,0.047,0.011,4.219,0.000,positive
all_ghg,EU15,Enteric fermentation,0.05,Luxembourg,2017,0.031,0.012,2.539,0.012,positive
all_ghg,EU15,Enteric fermentation,0.05,Netherlands,1998,-0.079,0.012,-6.285,0.000,negative
all_ghg,EU15,Enteric fermentation,0.05,Netherlands,2008,0.039,0.010,3.956,0.000,positive
all_ghg,EU15,Enteric fermentation,0.05,Netherlands,2014,0.039,0.015,2.574,0.011,positive
all_ghg,EU15,Enteric fermentation,0.05,Netherlands,2018,-0.055,0.016,-3.436,0.001,negative
all_ghg,EU15,Enteric fermentation,0.05,Portugal,2019,0.062,0.014,4.591,0.000,positive
all_ghg,EU15,Enteric fermentation,0.05,Sweden,2015,-0.070,0.009,-8.262,0.000,negative
all_ghg,EU15,Enteric fermentation,0.01,Belgium,2003,-0.065,0.011,-5.893,0.000,negative
all_ghg,EU15,Enteric fermentation,0.01,Belgium,2012,-0.088,0.010,-8.530,0.000,negative
all_ghg,EU15,Enteric fermentation,0.01,Spain,2001,0.101,0.015,6.907,0.000,positive
all_ghg,EU15,Enteric fermentation,0.01,Spain,2008,-0.085,0.011,-7.453,0.000,negative
all_ghg,EU15,Enteric fermentation,0.01,Spain,2018,0.096,0.013,7.581,0.000,positive
all_ghg,EU15,Enteric fermentation,0.01,Finland,1999,-0.041,0.013,-3.132,0.002,negative
all_ghg,EU15,Enteric fermentation,0.01,Finland,2017,-0.052,0.011,-4.629,0.000,negative
all_ghg,EU15,Enteric fermentation,0.01,France,2000,0.073,0.012,6.017,0.000,positive
all_ghg,EU15,Enteric fermentation,0.01,Greece,2018,-0.060,0.013,-4.554,0.000,negative
all_ghg,EU15,Enteric fermentation,0.01,Ireland,2000,0.059,0.014,4.276,0.000,positive
all_ghg,EU15,Enteric fermentation,0.01,Ireland,2018,-0.092,0.016,-5.848,0.000,negative
all_ghg,EU15,Enteric fermentation,0.01,Italy,2018,0.090,0.012,7.338,0.000,positive
all_ghg,EU15,Enteric fermentation,0.01,Luxembourg,2009,0.039,0.013,2.960,0.003,positive
all_ghg,EU15,Enteric fermentation,0.01,Netherlands,1998,-0.064,0.014,-4.475,0.000,negative
all_ghg,EU15,Enteric fermentation,0.01,Netherlands,2014,0.089,0.013,7.047,0.000,positive
all_ghg,EU15,Enteric fermentation,0.01,Netherlands,2018,-0.080,0.015,-5.261,0.000,negative
all_ghg,EU15,Enteric fermentation,0.01,Portugal,2015,0.071,0.013,5.374,0.000,positive
all_ghg,EU15,Enteric fermentation,0.01,Portugal,2019,0.065,0.016,4.010,0.000,positive
all_ghg,EU15,Enteric fermentation,0.01,Sweden,2015,-0.073,0.010,-7.258,0.000,negative
all_ghg,EU15,Enteric fermentation,0.001,Belgium,2003,-0.065,0.013,-4.859,0.000,negative
all_ghg,EU15,Enteric fermentation,0.001,Belgium,2012,-0.085,0.012,-6.921,0.000,negative
all_ghg,EU15,Enteric fermentation,0.001,Spain,2000,0.105,0.019,5.514,0.000,positive
all_ghg,EU15,Enteric fermentation,0.001,Spain,2008,-0.090,0.013,-6.810,0.000,negative
all_ghg,EU15,Enteric fermentation,0.001,Spain,2018,0.107,0.015,7.028,0.000,positive
all_ghg,EU15,Enteric fermentation,0.001,France,2000,0.071,0.015,4.895,0.000,positive
all_ghg,EU15,Enteric fermentation,0.001,Greece,2018,-0.058,0.015,-3.777,0.000,negative
all_ghg,EU15,Enteric fermentation,0.001,Ireland,2000,0.065,0.016,4.173,0.000,positive
all_ghg,EU15,Enteric fermentation,0.001,Italy,2018,0.096,0.015,6.594,0.000,positive
all_ghg,EU15,Enteric fermentation,0.001,Portugal,2015,0.106,0.013,8.000,0.000,positive
all_ghg,EU15,Enteric fermentation,0.001,Sweden,2015,-0.065,0.012,-5.547,0.000,negative
all_ghg,EU15,Glass Production,0.05,Austria,2010,0.501,0.118,4.249,0.000,positive
all_ghg,EU15,Glass Production,0.05,Ireland,2014,0.466,0.219,2.134,0.034,positive
all_ghg,EU15,Glass Production,0.05,Luxembourg,2004,0.516,0.188,2.745,0.006,positive
all_ghg,EU15,Glass Production,0.05,Luxembourg,2010,0.415,0.190,2.188,0.029,positive
all_ghg,EU15,Glass Production,0.05,Sweden,2010,0.481,0.123,3.892,0.000,positive
all_ghg,EU15,Glass Production,0.01,Luxembourg,2004,0.480,0.188,2.551,0.011,positive
all_ghg,EU15,Glass Production,0.01,Sweden,2010,0.347,0.123,2.821,0.005,positive
all_ghg,EU15,Incineration of waste,0.05,Belgium,2010,-0.553,0.048,-11.485,0.000,negative
all_ghg,EU15,Incineration of waste,0.05,UnitedKingdom,2010,-0.521,0.052,-10.010,0.000,negative
all_ghg,EU15,Incineration of waste,0.05,Greece,2016,0.524,0.062,8.450,0.000,positive
all_ghg,EU15,Incineration of waste,0.05,Ireland,2012,-0.700,0.065,-10.821,0.000,negative
all_ghg,EU15,Incineration of waste,0.05,Luxembourg,2006,0.568,0.070,8.075,0.000,positive
all_ghg,EU15,Incineration of waste,0.05,Netherlands,2006,0.657,0.049,13.408,0.000,positive
all_ghg,EU15,Incineration of waste,0.05,Sweden,2003,0.544,0.054,10.142,0.000,positive
all_ghg,EU15,Incineration of waste,0.01,Belgium,2010,-0.559,0.050,-11.252,0.000,negative
all_ghg,EU15,Incineration of waste,0.01,UnitedKingdom,2010,-0.545,0.054,-10.180,0.000,negative
all_ghg,EU15,Incineration of waste,0.01,Greece,2016,0.539,0.064,8.429,0.000,positive
all_ghg,EU15,Incineration of waste,0.01,Ireland,2012,-0.711,0.067,-10.647,0.000,negative
all_ghg,EU15,Incineration of waste,0.01,Luxembourg,2006,0.574,0.073,7.897,0.000,positive
all_ghg,EU15,Incineration of waste,0.01,Netherlands,2006,0.650,0.051,12.833,0.000,positive
all_ghg,EU15,Incineration of waste,0.01,Sweden,2003,0.534,0.055,9.656,0.000,positive
all_ghg,EU15,Incineration of waste,0.001,Belgium,2010,-0.603,0.054,-11.243,0.000,negative
all_ghg,EU15,Incineration of waste,0.001,UnitedKingdom,2010,-0.515,0.058,-8.879,0.000,negative
all_ghg,EU15,Incineration of waste,0.001,Greece,2016,0.547,0.069,7.884,0.000,positive
all_ghg,EU15,Incineration of waste,0.001,Ireland,2012,-0.838,0.070,-11.908,0.000,negative
all_ghg,EU15,Incineration of waste,0.001,Netherlands,2006,0.637,0.055,11.603,0.000,positive
all_ghg,EU15,Incineration of waste,0.001,Sweden,2003,0.501,0.060,8.372,0.000,positive
all_ghg,EU15,Indirect N20 - nitrogen,0.05,Austria,2003,0.141,0.016,8.749,0.000,positive
all_ghg,EU15,Indirect N20 - nitrogen,0.05,Belgium,2010,0.067,0.015,4.573,0.000,positive
all_ghg,EU15,Indirect N20 - nitrogen,0.05,Germany,2002,-0.064,0.018,-3.595,0.000,negative
all_ghg,EU15,Indirect N20 - nitrogen,0.05,Denmark,2001,-0.041,0.020,-2.025,0.044,negative
all_ghg,EU15,Indirect N20 - nitrogen,0.05,Denmark,2012,-0.166,0.016,-10.260,0.000,negative
all_ghg,EU15,Indirect N20 - nitrogen,0.05,Spain,2004,0.133,0.020,6.604,0.000,positive
all_ghg,EU15,Indirect N20 - nitrogen,0.05,Finland,2014,0.153,0.017,9.211,0.000,positive
all_ghg,EU15,Indirect N20 - nitrogen,0.05,UnitedKingdom,2002,-0.094,0.019,-4.954,0.000,negative
all_ghg,EU15,Indirect N20 - nitrogen,0.05,Greece,2007,0.154,0.029,5.310,0.000,positive
all_ghg,EU15,Indirect N20 - nitrogen,0.05,Greece,2010,-0.077,0.030,-2.552,0.011,negative
